tweet,date,comments,shares,likes,views,language
"Greenpeace co-founder, Dr. Patrick Moore: ""I am firmly of the belief that the future will show that this whole hysteria over climate  change was a complete fabrication.""",2024-05-22T08:05:27.000Z,330.0,12000.0,34000.0,1000000.0,en
"Greenpeace co-founder, Dr. Patrick Moore: ""I am firmly of the belief that the future will show that this whole hysteria over climate change was a complete fabrication.""",2024-05-22T08:05:27.000Z,330.0,12000.0,34000.0,1200000.0,en
"CO2 is plant food, not ""pollution"". Retweet if you agree!Available here: https:// imate-change-t-shirts?page=1&sort_by=best-selling … Use discount code TWITTER15 for 15% off your order!",2024-05-22T09:25:01.000Z,13.0,131.0,336.0,20000.0,en
It's called whether.  SMH.,2024-05-22T08:15:09.000Z,5.0,34.0,105.0,7000.0,en
It started looong ago…,2024-05-22T08:15:54.000Z,3.0,10.0,24.0,5000.0,en
"It is amazing to me that so many people have embraced the climate change agenda on face value. Especially when we live in a time were very powerful forces control what we hear, read, believe and to some degree...think. That said, it would be disingenuous to suggest human",2024-05-22T12:59:09.000Z,2.0,1.0,15.0,2000.0,en
"Climate catastrophism is a proven* secular religion; it left all science behind decades ago, even the mainstream.Net Zero is its 'salvation' narrative, & as such an irrational millenarian dream.Yet pushed relentlessly by elites, this belief system has millions of adherents!* Climate catastrophism is a proven* secular religion; it left all science behind decades ago, even the mainstream .Net Zero is its 'salvation' narrative, & as such an irrational millenarian dream.Yet pushed relentlessly by elites, this belief system has millions of adherents!*",2024-05-22T08:12:36.000Z,1.0,12.0,63.0,5000.0,en
These kinds of posts should not be permitted on X. They do not align with Government truth and they endanger true freedom of speech.,2024-05-22T17:42:19.000Z,1.0,,16.0,805.0,en
They use fear to control the masses.  One must recognize the pattern.,2024-05-22T16:45:52.000Z,,2.0,12.0,441.0,en
"CO2 is plant food, not ""pollution"". Retweet if you agree!Available here: https:// imate-change-t-shirts?page=1&sort_by=best-selling … Use discount code TWITTER15 for 15% off your order!",2024-05-22T09:25:01.000Z,131.0,336.0,20000.0,13.0,en
It's called whether.  SMH.,2024-05-22T08:15:09.000Z,5.0,34.0,105.0,7000.0,en
It started looong ago…,2024-05-22T08:15:54.000Z,3.0,10.0,24.0,5000.0,en
"It is amazing to me that so many people have embraced the climate change agenda on face value. Especially when we live in a time were very powerful forces control what we hear, read, believe and to some degree...think. That said, it would be disingenuous to suggest human",2024-05-22T12:59:09.000Z,2.0,1.0,15.0,2000.0,en
"Climate catastrophism is a proven* secular religion; it left all science behind decades ago, even the mainstream.Net Zero is its 'salvation' narrative, & as such an irrational millenarian dream.Yet pushed relentlessly by elites, this belief system has millions of adherents!* Climate catastrophism is a proven* secular religion; it left all science behind decades ago, even the mainstream .Net Zero is its 'salvation' narrative, & as such an irrational millenarian dream.Yet pushed relentlessly by elites, this belief system has millions of adherents!*",2024-05-22T08:12:36.000Z,1.0,12.0,63.0,5000.0,en
These kinds of posts should not be permitted on X. They do not align with Government truth and they endanger true freedom of speech.,2024-05-22T17:42:19.000Z,1.0,,16.0,805.0,en
They use fear to control the masses.  One must recognize the pattern.,2024-05-22T16:45:52.000Z,,2.0,12.0,441.0,en
"I'd seen a discussion of the infrared absorption capacity of CO2, and that the rate of absorption decreases exponentially with increasing CO2 levels.The point was that the IR absorption capacity of CO2 is nearly maxed out at current levels, and adding extra CO2 will only cause",2024-05-22T16:30:31.000Z,5.0,1.0,2.0,2000.0,en
Climate change is felt by every living thing on earth,2024-05-22T14:31:19.000Z,2.0,,1.0,564.0,en
"This article, on the same topic, worth a read too. https:// e-climate-change-hoax …",2024-05-22T10:23:17.000Z,1.0,4.0,9.0,2000.0,en
