tweet,date,comments,shares,likes,views,language,sentiment
"Together, we’re going to tackle the threat of climate  change head-on and create millions of good-paying, union jobs.",2020-12-20T00:54:00.000Z,2000.0,2000.0,25000.0,,en,1
Biden campaign also going up on Comedy Central and Adult Swim with this animated climate  change focused ad,2020-10-29T14:45:00.000Z,529.0,21000.0,60000.0,,en,0
"As president, I will:– Rebuild our infrastructure– Combat climate  change – Create millions of good-paying, union jobsIt’s time to build back better –– together.",2020-11-03T06:15:00.000Z,1000.0,3000.0,23000.0,,en,1
"Under a Biden-Harris Administration, we will rejoin the Paris Agreement on day one and lead the world in the fight against climate  change .",2020-12-12T20:02:00.000Z,5000.0,6000.0,66000.0,,en,0
"When you hear people telling you this is the most important election in our lifetimes, they’re not kidding.This election is not just about the economy, climate  change , education and health care.This is about whether we retain American democracy.",2020-10-31T21:46:48.000Z,353.0,1000.0,6000.0,,en,0
"Barrett: ""I'm certainly not a scientist. I have read things about climate  change . I would not say I have firm views on it.""We don’t need a climate denier on the Supreme Court. https:// /Jemsinger/status/1316161816293044224/video/1 …",2020-10-13T23:54:33.000Z,189.0,937.0,3000.0,,en,0
Judge Barrett could not even say Medicare and Social Security are constitutional or that climate  change is real. What a disgrace.Senate Republicans are carrying out an illegitimate power grab. Today is a shameful day for our democracy.I will vote NO on her confirmation.,2020-10-26T15:38:21.000Z,488.0,1000.0,10000.0,,en,0
"Watch this remarkable confrontation between a former Australian Prime Minister, Malcolm Turnbull, and Paul Kelly, editor-at-large for one of Murdoch's key properties, The Australian. The subject is climate  change and the Murdoch empire's disastrous legacy.",2020-11-10T21:44:38.000Z,533.0,8000.0,20000.0,,en,0
"Five years ago today, the world gathered to adopt the Paris Agreement on climate  change . On day one of the Biden-Harris administration, we will rejoin the Paris Agreement.",2020-12-12T17:28:04.000Z,488.0,2000.0,14000.0,,en,1
Nothing will fundamentally change under President Biden but if he wanted to save the lives of the poor & those who'll be upended by climate  change he has hundreds of options that don't require Congressional support.,2020-12-30T22:48:06.000Z,1.0,11.0,28.0,,en,0
"A couple days ago, we announced Canada’s strengthened climate plan. It’ll protect our environment, it’ll create good jobs, it’ll make your life more affordable, and it’ll make our economy more resilient and competitive. To find out how, click here: https://",2020-12-13T21:59:34.000Z,1000.0,424.0,2000.0,,en,1
CALLING ALL BLINKS: CLIMATE ACTION IN YOUR AREA! #COP26 To all BLINKs across the planet.WATCH our video with @UKinKorea on our journey to learn more about #ClimateChange  ahead of next year’s UN Climate Summit in UK @COP26 . #ClimateActionInYourArea  #TogetherForOurPlanet,2020-12-09T09:00:00.000Z,3000.0,41000.0,134000.0,,en,0
"Why are you voting in Georgia’s January 5 runoff elections? I’m voting for my nieces and nephews who want to see bold action on climate  change ; my parents who depend on reliable healthcare; and my brother who, like many others, deserves true criminal justice reform.",2020-12-03T22:01:19.000Z,422.0,3000.0,14000.0,,en,0
. @KamalaHarris to Amy Coney Barrett: You've made your point that you think climate  change is debatable,2020-10-14T21:19:57.000Z,149.0,1000.0,2000.0,,en,0
