tweet,date
"Remember when Joe Biden and Justin Trudeau took an 81 vehicle motorcade on a five minute trip to the Canadian parliament, where they outlined their plans to ""cut pollution and combat climate  change ""?",2024-05-23T08:03:03.000Z
"Timelapse of the apocalyptic rise in sea levels caused by "" climate  change "" between 1986-2022.",2024-05-22T07:57:51.000Z
Ron DeSantis removed references to climate  change from Florida law because it distracts people from worshipping him as Queen.,2024-05-17T14:20:13.000Z
"Unelected globalist technocrat, Bill Gates: ""The issue of food systems and how with climate  change , a lot of farmers aren't able to grow their crops, which is a tragedy for them. We'll talk about using innovation to absolutely solve that problem.""Globalist doublespeak",2024-05-24T10:30:08.000Z
"Admiral Levine: "" Climate  change is having a disproportionate effect on the physical and mental health of black communities.""",2024-05-22T07:50:06.000Z
"Greenpeace co-founder, Dr. Patrick Moore: ""I am firmly of the belief that the future will show that this whole hysteria over climate  change was a complete fabrication.""",2024-05-22T08:05:27.000Z
"Senator John Kennedy (Rep-LA) reviews an informative analysis from climate economist, Dr Bjorn Lomborg, on the feasibility of throwing money towards climate  change . Do you feel climate  change is real?",2024-05-23T00:36:06.000Z
"Remember when Joe Biden landed at Helsinki airport on a Boeing VC-25, then departed in a motorcade of at least 38 vehicles (most of which were flown in on huge cargo planes), just two days after he referred to "" climate  change "" as ""the single greatest threat to humanity""?",2024-05-23T09:26:57.000Z
"This is what happens when a massive tyre graveyard in Kuwait catches fire (2021). But hey, let’s blame farmers and cows for climate  change …",2024-05-21T09:10:54.000Z
Erik Prince on the many failures of the U.S. military.( Erik Prince on the many failures of the U.S. military. ( 6:40 6:40 6:40 ) Erik Prince on The Liz Cheney Wing of Congress( ) Erik Prince on The Liz Cheney Wing of Congress( 32:45 32:45 32:45 ) The Main Villains of The Iraq and Afghanistan Wars( ) The Main Villains of The Iraq and Afghanistan Wars( 40:48 40:48 40:48 ) Where does the Money We Send to Ukraine Really Go?( ) Where does the Money We Send to Ukraine Really Go?( 1:21:34 1:21:34 1:21:34 ) Why are the ) Why are the Climate Climate   Change Change Zombies Zombies,2024-05-21T17:00:35.000Z
"“Eat ze bugs” is not a conspiracy. Right from a WEF blog, we are told that meat consumption contributes to “ climate  change ,” insects are a great source of protein, and consuming insects can offset “ climate  change .”This is STUPID.I won’t eat ze bugs. Ever. Will you?",2024-05-17T21:10:14.000Z
"Floods and severe weather in the last two days in America, Europe, and  Asia demonstrate that the weather keeps getting more and more extreme. Climate  change is real, but it is driven by the pole shift, just as it  was 12,000 (and 6,000) years ago, and as described in the",2024-05-17T11:39:07.000Z
#ClimateChange  is caused by human greenhouse gas emissions. We’re causing #globalwarming 100 times faster than past natural changes We are taking Earth’s climate beyond natural limits with carbon dioxide & temperatures levels not seen for 3 million years. #ActOnClimate,2024-05-18T15:44:09.000Z
"On the latest episode of “WITHpod 2024: The Stakes,” @chrislhayes is joined by @drvolts to compare the presidential records of Joe Biden and Donald Trump on climate  change .Listen to the full episode here: https://",2024-05-24T00:49:40.000Z
RFK Jr. said this morning on Fox that he believes climate  change is an existential threat,2024-05-19T16:10:53.000Z
"I've seen very little coverage on the historic heat dome in Central America. Highs have reached up to 124, Florida has had heat index #'s to 115. It's only May! Climate  change is making heat waves more frequent, intense & larger. This dome will be relentless into next week. 1/",2024-05-20T22:44:22.000Z
President Ruto: Climate  change can not be changed in isolation,2024-05-24T12:04:08.000Z
"Season 4 Ep10: Misgivings Rewind to #TheWire 22nd anniversary The 2006 West Baltimore Climate  Change Forum.“It’s a cold world, Bodie” -Poot",2024-05-23T15:43:59.000Z
"There’s not a better description of America in 2024 than a dude pretending to be a woman doing a video where he also pretends man-made climate  change is real while also pretending the fictional man-made climate  change is targeting black people.Honestly, this is perfect.",2024-05-22T21:07:24.000Z
US Energy Secretary Jennifer Granholm blames increasing Energy Bills on….. Climate  Change .These politician’s think you’re stupid & treat you with utter contempt.,2024-05-22T10:12:39.000Z
"#WATCH : Justin Trudeau says the cost of living is rising it's the job of the govt to provide Canadians with services and make life more affordable because of climate  change .I believe Trudeau is so delusional, he actually believes this nonsense. This communist POS has to go.",2024-05-22T18:41:02.000Z
"We need to ""reduce our carbon footprint in everything we do, from banknotes to how we supervise banks” — Christine Lagarde, head of ECB and a convicted felon.Lagarde says climate  change requires a redesign of the economy and financial system, in line with the ""green"" Net Zero",2024-05-17T19:23:40.000Z
